substancename,nonproprietaryname,proprietaryname,labelername,producttypename,dosageformname,routename,marketingcategoryname,active_numerator_strength,active_ingred_unit
ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY,ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY,Body Series Invisible Solid Deodorant and Antiperspirant,Access Business Group LLC,HUMAN OTC DRUG,CREAM,TOPICAL,OTC MONOGRAPH FINAL,17,g
MENTHOL,Menthol,QuickFlex,Access Business Group LLC,HUMAN OTC DRUG,CREAM,TOPICAL,OTC MONOGRAPH NOT FINAL,1.25,g
PYRITHIONE ZINC,PYRITHIONE ZINC,Satinique Anti Dandruff,Access Business Group LLC,HUMAN OTC DRUG,CREAM,TOPICAL,OTC MONOGRAPH FINAL,95,mg
ALUMINUM CHLOROHYDRATE,Aluminum Chlorohydrate,G AND H PROTECT DEODORANT AND ANTIPERSPIRANT ROLL ON,Access Business Group LLC,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH FINAL,0.25,g
MITOMYCIN,Mitomycin,Mitomycin,Accord Healthcare Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,20,mg
ETOPOSIDE,Etoposide,Etoposide,Accord Healthcare Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,20,mg
DOCETAXEL,docetaxel,DOCETAXEL,Accord Healthcare Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
ONDANSETRON,ondansetron,ondansetron,Accord Healthcare Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,2,mg
AVOBENZONE,Avobenzone and Homosalate and Octinoxate and Octisalate and Octocrylene,Banana Boat UltraMist Baby Tear Free Continuous SPF 50,Accra-Pac Inc.,HUMAN OTC DRUG,SPRAY,TOPICAL,OTC MONOGRAPH FINAL,0.03,g
GUAIFENESIN,Guaifenesin and Dextromethorphan Hydrobromide,Robi DM Max Cough Congestion,Accucaps Industries Limited,HUMAN OTC DRUG,CAPSULE,ORAL,OTC MONOGRAPH FINAL,200,mg
UREA,UREA,UREA,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,EMULSION,TOPICAL,UNAPPROVED DRUG OTHER,50,g
SULFACETAMIDE,SODIUM SULFACETAMIDE,SODIUM SULFACETAMIDE - SULFUR WASH,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,LIQUID,TOPICAL,UNAPPROVED DRUG OTHER,90,mg
CALCIUM CITRATE,CALCIUM CITRATE,Prenaissance Plus,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,UNAPPROVED DRUG OTHER,100,mg
BENZOYL PEROXIDE,BENZOYL PEROXIDE,BPO 3 Foaming,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,CLOTH,TOPICAL,UNAPPROVED DRUG OTHER,3.2,g
SULFACETAMIDE SODIUM,Sodium Sulfacetamide,Sodium Sulfacetamide,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,GEL,TOPICAL,UNAPPROVED DRUG OTHER,100,mg
BENZOYL PEROXIDE,BENZOYL PEROXIDE,BPO Creamy Wash Complete Pack,ACELLA PHARMACEUTICALS,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH FINAL,None,None
HYDROCORTISONE ACETATE AND PRAMOXINE HYDROCHLORIDE,Hydrocortisone Acetate and Pramoxine Hydrochloride,Hydrocortisone Acetate and Pramoxine Hydrochloride,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,UNAPPROVED DRUG OTHER,None,None
HYDROCORTISONE ACETATE PRAMOXINE HCL,hydrocortisone acetate pramoxine hcl,hydrocortisone acetate pramoxine hcl,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,UNAPPROVED DRUG OTHER,None,None
CICLOPIROX,Ciclopirox,Ciclopirox,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,UNAPPROVED DRUG OTHER,None,None
SULFACETAMIDE SODIUM,Sulfacetamide Sodium and Sulfur,Sodium Sulfacetamide 10 Sulfur 5 Cleanser,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,RINSE,TOPICAL,UNAPPROVED DRUG OTHER,10,mg
UREA,Urea,Urea,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,SOLUTION,TOPICAL,UNAPPROVED DRUG OTHER,400,mg
LEVOTHYROXINE,LEVOTHYROXINE,NP Thyroid 15,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,UNAPPROVED DRUG OTHER,9.5,ug
.BETA.-CAROTENE,.beta.-carotene,PNV-First,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,UNAPPROVED DRUG OTHER,1100,[iU]
CALCIUM CARBONATE,cholecalciferol,Calcium Folic Acid Plus D Chewable,ACELLA PHARMACEUTICALS,HUMAN PRESCRIPTION DRUG,WAFER,ORAL,UNAPPROVED DRUG OTHER,1342,mg
CARBON DIOXIDE,CARBON DIOXIDE,CARBON DIOXIDE,Acetylene Oxygen Company,HUMAN PRESCRIPTION DRUG,GAS,RESPIRATORY (INHALATION),UNAPPROVED MEDICAL GAS,99,kg
HELIUM,HELIUM,HELIUM,Acetylene Oxygen Company,HUMAN PRESCRIPTION DRUG,GAS,RESPIRATORY (INHALATION),UNAPPROVED MEDICAL GAS,99,L
NITROGEN,NITROGEN,NITROGEN,Acetylene Oxygen Company,HUMAN PRESCRIPTION DRUG,GAS,RESPIRATORY (INHALATION),UNAPPROVED MEDICAL GAS,99,L
NITROUS OXIDE,NITROUS OXIDE,NITROUS OXIDE,Acetylene Oxygen Company,HUMAN PRESCRIPTION DRUG,GAS,RESPIRATORY (INHALATION),UNAPPROVED MEDICAL GAS,99,L
OXYGEN,OXYGEN,OXYGEN,Acetylene Oxygen Company,HUMAN PRESCRIPTION DRUG,GAS,RESPIRATORY (INHALATION),UNAPPROVED MEDICAL GAS,99,L
PHENYLEPHRINE HYDROCHLORIDE,Phenykephrine HCl 10mg,Physicians Care Sinus,Acme United Corporation,HUMAN OTC DRUG,TABLET,ORAL,OTC MONOGRAPH FINAL,10,mg
BENZALKONIUM CHLORIDE,BENZALKONIUM CHLORIDE,ACME Small Cuts and Burns,Acme United Corporation,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH FINAL,None,None
PROPYLENE GLYCOL,chlorhexidine gluconate and propylene glycol liquid,PhysiciansCare Eyewash Station Additive Concentrate,Acme United Corporation,HUMAN OTC DRUG,SOLUTION,OPHTHALMIC,OTC MONOGRAPH NOT FINAL,280,kg
DIMENHYDRINATE,Dimenhydrinate,Pac-Kit Motion Sickness,Acme United Corporation,HUMAN OTC DRUG,TABLET,ORAL,OTC MONOGRAPH FINAL,50,mg
CAPSAICIN,capsaicin,Qutenza,Acorda Therapeutics Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
DALFAMPRIDINE,Dalfampridine,AMPYRA,Acorda Therapeutics Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,10,mg
LEVETIRACETAM,Levetiracetam,Levetiracetam,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,1000,mg
LEVETIRACETAM,Levetiracetam,Levetiracetam,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,750,mg
PERMETHRIN,Permethrin,Permethrin,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CREAM,TOPICAL,ANDA,50,mg
HYDROCORTISONE,Hydorcortisone and Acetic Acid,Acetasol HC,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,AURICULAR (OTIC),ANDA,1.1,g
RANITIDINE HYDROCHLORIDE,Ranitidine,Ranitidine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,ANDA,15,mg
ACYCLOVIR,Acyclovir,Acyclovir,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,SUSPENSION,ORAL,ANDA,200,mg
CYPROHEPTADINE HYDROCHLORIDE,Cyproheptadine Hydrochloride,Cyproheptadine Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,SYRUP,ORAL,ANDA,2,mg
MEMANTINE HYDROCHLORIDE,memantine hydrochloride,memantine hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,ORAL,NDA,None,None
NORGESTIMATE AND ETHINYL ESTRADIOL,norgestimate and ethinyl estradiol,MonoNessa,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
ELUXADOLINE,Eluxadoline,Viberzi,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,75,mg
LEVALBUTEROL TARTRATE,levalbuterol tartrate,Levalbuterol tartrate HFA inhalation,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,AEROSOL,ORAL,NDA AUTHORIZED GENERIC,45,ug
ISRADIPINE,Isradipine,Isradipine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,2.5,mg
SILODOSIN,silodosin,RAPAFLO,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,4,mg
TAMSULOSIN HYDROCHLORIDE,Tamsulosin hydrochloride,Tamsulosin hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,0.4,mg
TRIMIPRAMINE MALEATE,Trimipramine Maleate,Trimipramine Maleate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,25,mg
VERAPAMIL HYDROCHLORIDE,verapamil hydrochloride,Verapamil Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,120,mg
DEXTROAMPHETAMINE SACCHARATE,Dextroamphetamine saccharate,Dextroamphetamine saccharate/ amphetamine aspartate monohydrate/ dextroamphetamine sulfate/ amphetamine sulfate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,2.5,mg
FLUVOXAMINE MALEATE,Fluvoxamine Maleate,Fluvoxamine Maleate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,100,mg
PROPRANOLOL HYDROCHLORIDE,Propranolol Hydrochloride,Propranolol Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,60,mg
AMANTADINE HYDROCHLORIDE,Amantadine hydrochloride,Amantadine hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,100,mg
HYDROCHLOROTHIAZIDE,Hydrochlorothiazide,Hydrochlorothiazide,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA AUTHORIZED GENERIC,12.5,mg
OXAZEPAM,Oxazepam,Oxazepam,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,10,mg
TIZANIDINE HYDROCHLORIDE,tizanidine hydrochloride,tizanidine hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,2,mg
NIFEDIPINE,Nifedipine,Nifedipine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,10,mg
